URL,Hostname,Final HTTP status,Content-Length bytes (HEAD),Local lookup milliseconds
https://images.ctfassets.net/z41mabrhnu57/UmhkYpi6PATbBicSJLceT/8ff20aab5bc17ae6b98ae6947794490f/Case_Study_1_-_featured_img.png,images.ctfassets.net,200,323530,1.84
https://images.ctfassets.net/z41mabrhnu57/sAvItjEclsYromsrLhs5w/0288b7db26c2b743150795058f818e77/Case_Study_3_-_Figure_1.png,images.ctfassets.net,200,71534,2.22
https://videos.ctfassets.net/z41mabrhnu57/1tfuRVhofEWiPI8llhrfH4/b996fb175468621ed241442ed916d4c7/Case_Study_-2_-_Connecting_a_Bank_Deposit_Flow_to_Production_APIs.mp4,videos.ctfassets.net,200,11708322,20.47
https://videos.ctfassets.net/z41mabrhnu57/2GkjzNCi2XoV8f8KyTuTFp/4c2b1718965f0c3dd68505ed62800f26/Recording_2026-05-14_170448.mp4,videos.ctfassets.net,200,1538543,4.87
https://videos.ctfassets.net/z41mabrhnu57/2UdqINiMsqR5366xZ0PHpH/e7800627c4019c12286e5f64309743c1/Recording_2026-06-02_194459.mp4,videos.ctfassets.net,200,40624508,1.96
https://videos.ctfassets.net/z41mabrhnu57/2c7kqry1rIQrFnsecaM1Qh/4d68e221c750386abf2c1313e1f76a73/Recording_2026-06-03_162431.mp4,videos.ctfassets.net,200,20504329,2.06
https://videos.ctfassets.net/z41mabrhnu57/3IsuQFOQMXqvHGP1SFa0Ir/edbd8f6ef67b9cde30c53621ff829fac/Recording_2026-06-02_102644.mp4,videos.ctfassets.net,200,40844154,2.56
https://videos.ctfassets.net/z41mabrhnu57/3Z63KqJ5al8FHNudpnH2ty/e0895b9bfa6fc5de87d2b7cfdc0eb3b8/Case_Study_-3_-_Modernizing_the_Way_Financial_Records_Are_Retrieved.mp4,videos.ctfassets.net,200,18896387,2.24
https://videos.ctfassets.net/z41mabrhnu57/3m66pjvcX6SyZG5oymbydz/90f8a24c2645b17054e98d6cf614c625/Recording_2026-05-06_104733.mp4,videos.ctfassets.net,200,18832612,4.54
https://videos.ctfassets.net/z41mabrhnu57/4YueL2DTmAGRT9ULZIGkiz/c24721d11249e5e352fb429ed72674c1/Recording_2026-06-08_162058.mp4,videos.ctfassets.net,200,10020710,1.84
https://videos.ctfassets.net/z41mabrhnu57/5hVBptRBmgFjXFUN68oEN0/e6cdf77fe2328e306b3fce450d884388/Recording_2026-06-02_200642__1_.mp4,videos.ctfassets.net,200,34119920,1.85
https://videos.ctfassets.net/z41mabrhnu57/6FmEMFTF1h83yTVZJ4olg5/3e65b5aace0ca037ecf893ff7d08f1fa/Recording_2026-04-24_104551.mp4,videos.ctfassets.net,200,17115596,1.9
https://videos.ctfassets.net/z41mabrhnu57/6TNIptFAP976TdAfNlB9rv/6bdd571942d180ba5aac687014330cc9/Recording_2026-06-03_163623.mp4,videos.ctfassets.net,200,36354374,1.8
https://videos.ctfassets.net/z41mabrhnu57/6cVRj873dOm38oAezz0ep2/3192c09e4ff73dc03fe2e6595b013884/Recording_2026-06-02_151709.mp4,videos.ctfassets.net,200,31321831,1.54
https://videos.ctfassets.net/z41mabrhnu57/6tdeLQCuaWX1LXa2Q6zteU/841009aeb748c3a518fe9a7031db6fdd/Case_Study_-1_-_Modernizing_a_High-Volume_Bank_Deposit_Flow.mp4,videos.ctfassets.net,200,18162870,1.86
https://videos.ctfassets.net/z41mabrhnu57/74WsDgz6p5GmmAfOwF16GR/15f7d3383fe2f14e8d12fe9c0936e961/Recording_2026-05-14_130759.mp4,videos.ctfassets.net,200,11130364,1.61
https://videos.ctfassets.net/z41mabrhnu57/765X5UKVRxTkrokeiKb9ei/c103bab98ff6a78d45e4bc21280d10a7/Recording_2026-05-14_145115.mp4,videos.ctfassets.net,200,26975045,1.65
https://videos.ctfassets.net/z41mabrhnu57/7pt003qZIgRE8VtwWPsATd/20935266022f5ea6344187d631c24c0c/Recording_2026-05-13_132601.mp4,videos.ctfassets.net,200,12603398,2.1
https://videos.ctfassets.net/z41mabrhnu57/Vr7oLSLWgkw745PnJHYKz/6e1c108df754f0f613abfcdb55dfa7b0/Recording_2026-06-02_180749.mp4,videos.ctfassets.net,200,13382322,1.71
https://videos.ctfassets.net/z41mabrhnu57/wgwOBl2Ox8Rs2UOs0mXOP/22f5320d665f7f050e1753f817352ed3/Recording_2026-05-06.mp4,videos.ctfassets.net,200,5652815,1.74
https://www.enjanga.com/_next/static/chunks/255-a8dafe9145bc138e.js?dpl=dpl_7fghcCGXQ965gxuNHkDG25TsLXRp,www.enjanga.com,200,172350,1.79
https://www.enjanga.com/_next/static/chunks/4bd1b696-c023c6e3521b1417.js?dpl=dpl_7fghcCGXQ965gxuNHkDG25TsLXRp,www.enjanga.com,200,173019,1.41
https://www.enjanga.com/_next/static/chunks/560-5ea3c83c0c8e214e.js?dpl=dpl_7fghcCGXQ965gxuNHkDG25TsLXRp,www.enjanga.com,200,11926,5.1
https://www.enjanga.com/_next/static/chunks/619-ba102abea3e3d0e4.js?dpl=dpl_7fghcCGXQ965gxuNHkDG25TsLXRp,www.enjanga.com,200,8537,2.03
https://www.enjanga.com/_next/static/chunks/app/case-studies/%5Bslug%5D/error-ab8a51ce143fd6e1.js?dpl=dpl_7fghcCGXQ965gxuNHkDG25TsLXRp,www.enjanga.com,200,1218,1.94
https://www.enjanga.com/_next/static/chunks/app/case-studies/%5Bslug%5D/page-b6e2364ca3bb55d3.js?dpl=dpl_7fghcCGXQ965gxuNHkDG25TsLXRp,www.enjanga.com,200,226,1.79
https://www.enjanga.com/_next/static/chunks/app/case-studies/page-7c435e439ea78a5a.js?dpl=dpl_7fghcCGXQ965gxuNHkDG25TsLXRp,www.enjanga.com,200,918,1.73
https://www.enjanga.com/_next/static/chunks/app/error-d3a6ba0fa3b2ddca.js?dpl=dpl_7fghcCGXQ965gxuNHkDG25TsLXRp,www.enjanga.com,200,1202,1.74
https://www.enjanga.com/_next/static/chunks/app/global-error-13e5544aae7105d3.js?dpl=dpl_7fghcCGXQ965gxuNHkDG25TsLXRp,www.enjanga.com,200,1388,2.2
https://www.enjanga.com/_next/static/chunks/app/layout-cd282372a47cd0bc.js?dpl=dpl_7fghcCGXQ965gxuNHkDG25TsLXRp,www.enjanga.com,200,5495,2.21
https://www.enjanga.com/_next/static/chunks/app/page-1bc515e61e66b29b.js?dpl=dpl_7fghcCGXQ965gxuNHkDG25TsLXRp,www.enjanga.com,200,3400,1.99
https://www.enjanga.com/_next/static/chunks/main-app-e38890cadc2b084e.js?dpl=dpl_7fghcCGXQ965gxuNHkDG25TsLXRp,www.enjanga.com,200,513,1.95
https://www.enjanga.com/_next/static/chunks/polyfills-42372ed130431b0a.js?dpl=dpl_7fghcCGXQ965gxuNHkDG25TsLXRp,www.enjanga.com,200,112594,2.12
https://www.enjanga.com/_next/static/chunks/webpack-1b2bbc7e8235a2c6.js?dpl=dpl_7fghcCGXQ965gxuNHkDG25TsLXRp,www.enjanga.com,200,3883,2.04
https://www.enjanga.com/_next/static/css/10014c3c01ed88c3.css?dpl=dpl_7fghcCGXQ965gxuNHkDG25TsLXRp,www.enjanga.com,200,14633,2.29
https://www.enjanga.com/_next/static/css/7a1446189c269e36.css?dpl=dpl_7fghcCGXQ965gxuNHkDG25TsLXRp,www.enjanga.com,200,10099,2.29
https://www.enjanga.com/_next/static/css/bf7788ba9517e5fc.css?dpl=dpl_7fghcCGXQ965gxuNHkDG25TsLXRp,www.enjanga.com,200,8313,2.08
https://www.enjanga.com/_next/static/css/c0f0312b1fcacbd1.css?dpl=dpl_7fghcCGXQ965gxuNHkDG25TsLXRp,www.enjanga.com,200,988,1.97
https://www.enjanga.com/_next/static/css/d7aa28bf99761205.css?dpl=dpl_7fghcCGXQ965gxuNHkDG25TsLXRp,www.enjanga.com,200,18064,2.47
https://www.enjanga.com/_next/static/media/MonaSansVF.fa9a2f42.woff2,www.enjanga.com,200,532968,1.77
http://enjanga.com/,enjanga.com,200,27292,112.76
https://enjanga.com/,enjanga.com,200,27292,96.79
http://www.enjanga.com/,www.enjanga.com,200,27292,5.23
https://www.enjanga.com/robots.txt,www.enjanga.com,404,15863,2.06
https://www.enjanga.com/sitemap.xml,www.enjanga.com,404,15863,1.78
